distance,base_duration,duration_in_traffic,time,status
289,37,112,2020-07-30 22:57:46.795963,OK
289,37,173,2020-07-30 22:58:46.734689,OK
289,37,117,2020-07-30 22:59:46.635517,OK
289,37,132,2020-07-30 23:00:46.541331,OK
289,37,141,2020-07-30 23:01:46.871012,OK
289,37,148,2020-07-30 23:02:46.560405,OK
289,37,196,2020-07-30 23:03:46.505115,OK
289,37,166,2020-07-30 23:04:46.693175,OK
289,37,185,2020-07-30 23:05:46.575053,OK
289,37,173,2020-07-30 23:06:46.499817,OK
289,37,170,2020-07-30 23:07:46.488410,OK
289,37,170,2020-07-30 23:08:46.643557,OK
289,37,139,2020-07-30 23:09:46.524438,OK
289,37,130,2020-07-30 23:10:46.526994,OK
289,37,112,2020-07-30 23:11:46.715054,OK
289,37,133,2020-07-30 23:12:46.621865,OK
289,37,123,2020-07-30 23:13:46.549620,OK
289,37,124,2020-07-30 23:14:46.693797,OK
289,37,110,2020-07-30 23:15:46.517831,OK
289,37,107,2020-07-30 23:16:46.515400,OK
289,37,104,2020-07-30 23:17:48.034494,OK
289,37,105,2020-07-30 23:18:46.509833,OK
289,37,126,2020-07-30 23:19:46.499422,OK
289,37,131,2020-07-30 23:20:46.504971,OK
289,37,144,2020-07-30 23:21:46.505531,OK
289,37,152,2020-07-30 23:22:46.624775,OK
289,37,144,2020-07-30 23:23:46.761971,OK
289,37,145,2020-07-30 23:24:46.529155,OK
289,37,152,2020-07-30 23:25:46.771071,OK
289,37,146,2020-07-30 23:26:46.565184,OK
289,37,149,2020-07-30 23:27:46.894865,OK
289,37,139,2020-07-30 23:28:46.520428,OK
289,37,159,2020-07-30 23:29:46.520990,OK
289,37,169,2020-07-30 23:30:46.521550,OK
289,37,175,2020-07-30 23:31:46.765461,OK
289,37,175,2020-07-30 23:32:46.598469,OK
289,37,177,2020-07-30 23:33:46.538193,OK
289,37,172,2020-07-30 23:34:46.525788,OK
289,37,171,2020-07-30 23:35:46.481470,OK
289,37,181,2020-07-30 23:36:46.539876,OK
289,37,192,2020-07-30 23:37:46.523483,OK
289,37,170,2020-07-30 23:38:46.529030,OK
289,37,168,2020-07-30 23:39:46.517623,OK
289,37,174,2020-07-30 23:40:46.501229,OK
289,37,182,2020-07-30 23:41:46.533408,OK
289,37,182,2020-07-30 23:42:46.579846,OK
289,37,177,2020-07-30 23:43:46.498633,OK
289,37,167,2020-07-30 23:44:46.590942,OK
289,37,170,2020-07-30 23:45:46.629401,OK
289,37,193,2020-07-30 23:46:46.532601,OK
289,37,183,2020-07-30 23:47:46.582031,OK
289,37,179,2020-07-30 23:48:46.513775,OK
289,37,186,2020-07-30 23:49:46.481863,OK
289,37,185,2020-07-30 23:50:46.517331,OK
289,37,177,2020-07-30 23:51:46.620618,OK
289,37,193,2020-07-30 23:52:46.536405,OK
289,37,183,2020-07-30 23:53:46.537206,OK
289,37,201,2020-07-30 23:54:46.510186,OK
289,37,188,2020-07-30 23:55:48.600161,OK
289,37,191,2020-07-30 23:56:46.677864,OK
